cohort_month,cohort_index,retention
2016-09,0,1.0
2016-10,0,1.0
2016-12,0,1.0
2017-01,0,1.0
2017-02,0,1.0
2017-03,0,1.0
2017-04,0,1.0
2017-05,0,1.0
2017-06,0,1.0
2017-07,0,1.0
2017-08,0,1.0
2017-09,0,1.0
2017-10,0,1.0
2017-11,0,1.0
2017-12,0,1.0
2018-01,0,1.0
2018-02,0,1.0
2018-03,0,1.0
2018-04,0,1.0
2018-05,0,1.0
2018-06,0,1.0
2018-07,0,1.0
2018-08,0,1.0
2016-09,1,0.0
2016-10,1,0.0
2016-12,1,1.0
2017-01,1,0.00278940027894
2017-02,1,0.0018427518427518
2017-03,1,0.0043947263284059
2017-04,1,0.0062056737588652
2017-05,1,0.0046363372935381
2017-06,1,0.0049390846229832
2017-07,1,0.0053304904051172
2017-08,1,0.0069016514666009
2017-09,1,0.0069930069930069
2017-10,1,0.0071626617375231
2017-11,1,0.0056657223796034
2017-12,1,0.002060696890221
2018-01,1,0.0033615901783104
2018-02,1,0.0034987277353689
2018-03,1,0.003985828166519
2018-04,1,0.0059252506836827
2018-05,1,0.0052259452812788
2018-06,1,0.0042531473290234
2018-07,1,0.0052109598251807
2016-09,2,0.0
2016-10,2,0.0
2016-12,2,0.0
2017-01,2,0.00278940027894
2017-02,2,0.003071253071253
2017-03,2,0.0035956851777866
2017-04,2,0.0022163120567375
2017-05,2,0.0046363372935381
2017-06,2,0.0039512676983865
2017-07,2,0.0034648187633262
2017-08,2,0.0034508257333004
2017-09,2,0.0054945054945054
2017-10,2,0.0025415896487985
2017-11,2,0.0036827195467422
2017-12,2,0.0028100412139378
2018-01,2,0.0036539023677287
2018-02,2,0.0039758269720101
2018-03,2,0.0029524653085326
2018-04,2,0.0030385900941962
2018-05,2,0.0026129726406394
2018-06,2,0.002722014290575
2016-09,3,0.0
2016-10,3,0.0
2016-12,3,0.0
2017-01,3,0.00139470013947
2017-02,3,0.0012285012285012
2017-03,3,0.0039952057530962
2017-04,3,0.00177304964539
2017-05,3,0.0028977108084613
2017-06,3,0.0042805400065854
2017-07,3,0.0023987206823027
2017-08,3,0.0027113630761646
2017-09,3,0.0027472527472527
2017-10,3,0.0009242144177449
2017-11,3,0.001699716713881
2017-12,3,0.0033720494567253
2018-01,3,0.0029231218941829
2018-02,3,0.0030216284987277
2018-03,3,0.0029524653085326
2018-04,3,0.002430872075357
2018-05,3,0.0018444512757454
2016-09,4,0.0
2016-10,4,0.0
2016-12,4,0.0
2017-01,4,0.00418410041841
2017-02,4,0.0042997542997543
2017-03,4,0.0035956851777866
2017-04,4,0.0026595744680851
2017-05,4,0.0028977108084613
2017-06,4,0.0029634507737899
2017-07,4,0.0029317697228144
2017-08,4,0.0034508257333004
2017-09,4,0.0044955044955044
2017-10,4,0.0023105360443622
2017-11,4,0.001699716713881
2017-12,4,0.0026227051330086
2018-01,4,0.0029231218941829
2018-02,4,0.0025445292620865
2018-03,4,0.001180986123413
2018-04,4,0.0013673655423883
2016-09,5,0.0
2016-10,5,0.0
2016-12,5,0.0
2017-01,5,0.00139470013947
2017-02,5,0.0012285012285012
2017-03,5,0.0015980823012385
2017-04,5,0.0026595744680851
2017-05,5,0.0031874818893074
2017-06,5,0.0039512676983865
2017-07,5,0.0021321961620469
2017-08,5,0.0051762385999507
2017-09,5,0.0022477522477522
2017-10,5,0.002079482439926
2017-11,5,0.0018413597733711
2017-12,5,0.002060696890221
2018-01,5,0.0016077170418006
2018-02,5,0.0022264631043256
2018-03,5,0.001180986123413
2016-09,6,0.0
2016-10,6,0.0038167938931297
2016-12,6,0.0
2017-01,6,0.00418410041841
2017-02,6,0.0024570024570024
2017-03,6,0.0015980823012385
2017-04,6,0.0035460992907801
2017-05,6,0.0040567951318458
2017-06,6,0.0036219953901876
2017-07,6,0.0031982942430703
2017-08,6,0.0029578506285432
2017-09,6,0.0022477522477522
2017-10,6,0.002079482439926
2017-11,6,0.0011331444759206
2017-12,6,0.0016860247283626
2018-01,6,0.0017538731365097
2018-02,6,0.0020674300254452
2016-09,7,0.0
2016-10,7,0.0
2016-12,7,0.0
2017-01,7,0.00139470013947
2017-02,7,0.0018427518427518
2017-03,7,0.003196164602477
2017-04,7,0.0031028368794326
2017-05,7,0.0014488554042306
2017-06,7,0.0023049061573921
2017-07,7,0.0010660980810234
2017-08,7,0.0027113630761646
2017-09,7,0.0024975024975024
2017-10,7,0.0036968576709796
2017-11,7,0.0018413597733711
2017-12,7,0.0001873360809291
2018-01,7,0.0023384975153463
2016-09,8,0.0
2016-10,8,0.0
2016-12,8,0.0
2017-01,8,0.00139470013947
2017-02,8,0.0012285012285012
2017-03,8,0.003196164602477
2017-04,8,0.0031028368794326
2017-05,8,0.0026079397276151
2017-06,8,0.0013170892327955
2017-07,8,0.001865671641791
2017-08,8,0.0014789253142716
2017-09,8,0.0027472527472527
2017-10,8,0.0027726432532347
2017-11,8,0.0012747875354107
2017-12,8,0.0018733608092918
2016-09,9,0.0
2016-10,9,0.0038167938931297
2016-12,9,0.0
2017-01,9,0.0
2017-02,9,0.0018427518427518
2017-03,9,0.0007990411506192
2017-04,9,0.00177304964539
2017-05,9,0.0026079397276151
2017-06,9,0.0019756338491932
2017-07,9,0.0026652452025586
2017-08,9,0.0014789253142716
2017-09,9,0.0017482517482517
